name,calories,protein_g,carbs_g,fat_g
"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",81.86749999999999,18.65,0.0,0.8075
"Squash, summer, green, zucchini, includes skin, raw",18.862499999999997,0.984375,3.27,0.205
"Squash, summer, yellow, includes skin, raw",22.3375,0.890625,4.39,0.135
"Squash, winter, butternut, raw",48.1323,1.14875,10.50745,0.1675
"Squash, winter, acorn, raw",48.5625,1.25,10.48,0.1825
"Cabbage, bok choy, raw",20.258999999999997,1.02375,3.51495,0.2338
"Cauliflower, raw",27.592299999999998,1.640625,4.723075,0.2375
"Collards, raw",46.894,2.96875,7.02225,0.77
"Brussels sprouts, raw",59.485,3.984375,9.615625,0.565
"Beets, raw",44.62050000000001,1.6875,8.787,0.3025
"Eggplant, raw",26.0848,0.851875,5.399325,0.12
"Tomatoes, whole, canned, solids and liquids, with salt added",22.4763,0.8675,4.2874,0.2063
"Tomato, sauce, canned, with salt added",34.1765,1.351875,6.331625,0.3825
"Tomato, paste, canned, without salt added",104.2825,4.234375,20.188125,0.7325
"Tomatoes, crushed, canned",37.8755,1.4375,7.137,0.3975
"Tomato, puree, canned",40.845,1.578125,8.036875,0.265
"Apricot, with skin, raw",48.445,0.96125,10.23875,0.405
"Melons, honeydew, raw",36.6715,0.53125,8.14995,0.2163
"Plantains, ripe, raw",136.47330000000002,1.15625,30.95215,0.8933
"Plantains, underripe, raw",145.43179999999998,1.229375,33.587325,0.685
"Chia seeds, dry, raw",517.154,17.013,38.273,32.89
"Bulgur, dry, raw",372.34099999999995,11.75625,75.88175,2.421
"Wild rice, dry, raw",369.164,12.7875,75.6695,1.704
"Arugula, baby, raw",30.993,1.64875,5.36825,0.325
"Asparagus, green, raw",28.1015,1.4375,5.1012,0.2163
"Avocado, Hass, peeled, raw",223.334,1.8125,8.3235,20.31
"Rice, black, unenriched, raw",369.96999999999997,7.56875,77.18825,3.438
"Corn, sweet, yellow and white kernels,  fresh, raw",84.55,2.789375,14.689625,1.626
"Einkorn, grain, dry, raw",369.3829999999999,15.11719,68.65381,3.811
"Farro, pearled, dry, raw",367.01099999999997,12.63944,72.13156,3.103
"Fonio, grain, dry, raw",369.13300000000004,7.16875,81.30525,1.693
"Khorasan, grain, dry, raw",371.4,14.75573,71.79427,2.8
"Kiwifruit (kiwi), green, peeled, raw",65.0648,1.008125,13.818075,0.64
"Mandarin, seedless, peeled, raw",61.9623,1.039375,13.421825,0.4575
"Mango, Tommy Atkins, peeled, raw",68.4625,0.5625,15.265,0.5725
"Mango, Ataulfo, peeled, raw",78.4665,0.6875,17.3962,0.6813
"Corn flour, masa harina, white or yellow, dry, raw",376.068,7.5625,76.6895,4.34
"Pear, Anjou, green, with skin, raw",63.661300000000004,0.3125,14.7674,0.3713
"Plum, black, with skin, raw",58.677299999999995,0.578125,13.455575,0.2825
"Rice, red, unenriched, dry, raw",369.828,8.5625,76.1545,3.44
"Sorghum bran, white, unenriched, dry, raw",402.78700000000003,11.16875,68.69525,9.259
"Sorghum flour, white, pearled, unenriched, dry, raw",364.01800000000003,10.2125,73.5065,3.238
"Sorghum grain, white, pearled, unenriched, dry, raw",369.873,10.25,74.872,3.265
"Sorghum, whole grain, white, dry, raw",372.591,10.08125,73.57375,4.219
"Plantains, overripe, raw",130.3432,1.166875,29.191425,0.99
"Chicken, drumstick, meat and skin, raw",124.9848,18.35625,-0.47505,5.94
"Chicken, thigh, meat and skin, raw",187.88479999999998,17.10625,-0.17255,13.35
"Chicken, wing, meat and skin, raw",167.55,18.40625,-0.45875,10.64
"Chicken, breast, meat and skin, raw",126.905,21.40625,-0.42825,4.777
"Lamb, ground, raw",236.60679999999996,17.4625,-0.2508,18.64
"Bison, ground, raw",158.8468,19.88125,-0.14955,8.88
"Beef, short loin (NY strip steak), raw",190.04479999999998,21.325,0.2212,11.54
"Beef, tenderloin steak, raw",143.20000000000002,21.09375,0.18025,6.456
"Beef, top sirloin steak, raw",140.144,21.975,0.218,5.708
"Pork, chop, center cut, raw",138.275,22.8125,-0.5625,5.475
"Pork, belly, with skin, raw",380.45,15.2,-0.705,35.83
"Anchovies, canned in olive oil, with salt, drained",206.065,26.9375,2.4095,9.853
"Beet greens, raw",26.367,1.609375,4.658825,0.1438
"Cod, Pacific or Alaskan, frozen, wild caught",60.84,14.2,0.524,0.216
"Fennel, bulb, raw",26.892400000000002,0.921875,5.486225,0.14
"Halibut, frozen, wild caught",81.3345,19.0625,-0.0602,0.5917
"Lobster, tail only, frozen, wild caught",58.8175,12.99375,0.88555,0.3667
"Mahi mahi, frozen, wild caught",83.71149999999999,19.79375,0.28655,0.3767
"Parsnips, raw",87.0745,1.265625,19.292275,0.5381
"Peppers, banana or Hungarian wax, seeded, raw",23.939799999999998,0.723125,4.966175,0.1314
"Peppers, jalapeno, seeded, raw",24.126400000000004,0.621125,5.075675,0.1488
"Peppers, poblano, seeded, raw",27.9906,1.425625,5.143175,0.1906
"Peppers, serrano, seeded, raw",29.233,0.855625,6.136275,0.1406
"Radicchio, raw",26.3679,1.30875,4.96125,0.1431
"Radishes, red, raw",19.600450000000002,0.65625,4.05682,0.08313
"Scallops, bay, Patagonian, frozen, wild caught",78.456,16.3875,2.2833,0.4192
"Scallops, sea, frozen, wild caught",66.3545,13.5125,1.9662,0.4933
"Sea bass, Chilean, frozen, wild caught",209.3868,14.925,0.1392,16.57
"Snapper, frozen, wild caught",89.538,20.6625,0.4413,0.5692
"Snow crab, legs only, frozen  ",69.223,15.5375,1.1063,0.2942
"Squid (calamari), frozen, tubes only",43.9108,8.80625,0.93215,0.5508
"Swordfish, frozen, wild caught",151.85500000000002,19.2375,0.4495,8.123
"Tuna, ahi or yellowfin, frozen, wild caught",101.86949999999999,24.7,-0.1045,0.3875
"Turnips, raw",33.98160000000001,0.953125,7.274975,0.1188
